Chemical_Name
3-acetyloxy-4-(trimethylazaniumyl)butanoate
(2-acetyloxy-3-carboxypropyl)-trimethylazanium
"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid"
1-aminopropan-2-ol
(3-amino-2-oxopropyl) dihydrogen phosphate
"1-chloro-2,4-dinitrobenzene"
9-ethylpurin-6-amine
"2,3-dihydroxy-3-methylpentanoic acid"
"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate"
"2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methyl-formylamino]benzoyl]amino]pentanedioic acid"
"1,2-dichloroethane"
"benzene-1,2,3,5-tetrol"
"1,2,4-trichlorobenzene"
7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid
"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one"
"1,8-diazacyclotetradecane-2,9-dione"
"2,3-dihydropyridine-2,6-dicarboxylic acid"
"4,5,6-trihydroxy-2,3-dioxohexanoic acid"
"2,3-dihydroxybenzoic acid"
"3-(2,3-dihydroxyphenyl)propanoic acid"
2-ethyl-2-hydroxy-3-oxobutanoic acid
2-hydroxy-2-methyl-3-oxobutanoic acid
2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid
"2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one"
"2-amino-7,8-dihydroxy-6-(1,2,3-trihydroxypropyl)-1,5,6,7-tetrahydropteridin-4-one"
"1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione"
"[[3-(2-amino-7,8-dihydroxy-4-oxo-1,7-dihydropteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate"
"2-aminohexa-2,4-dienedioic acid"
2-amino-3-oxopropanoic acid
"2-amino-6-oxohexa-2,4-dienoic acid"
"(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate"
"buta-1,3-diene-1,1,4-tricarboxylic acid"
2-chloroacetaldehyde
2-chloroethanol
2-(2-chloro-5-oxofuran-2-yl)acetic acid
2-hydroxy-3-propan-2-ylbutanedioic acid
"4,5,6-trihydroxy-2-oxohexanoic acid"
"4-hydroxy-3,3-dimethyl-2-oxobutanoic acid"
"4,4-dimethyloxolane-2,3-dione"
"6-(hydroxymethyl)oxane-2,4,5-triol"
(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate
"2-hydroxy-6-oxonona-2,4-dienedioic acid"
2-hydroxypentanedioic acid
2-hydroxypropanedioate
2-hydroxypropanedioic acid
"4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid"
3-methyl-2-oxopentanoic acid
"5-amino-2,5-dioxopentanoic acid"
3-methyl-2-oxobutanoic acid
"3,4,5,6-tetrahydroxy-2-oxohexanoic acid"
2-oxopentanedioic acid
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate"
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate"
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate"
"3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol"
"2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol"
"2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol"
2-oxobutanoic acid
3-hydroxy-2-phosphonooxypropanoic acid
"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate"
"2,3-diphosphonooxypropanoic acid"
"2,4,5-trichlorocyclohexa-2,5-dien-1-ol"
"2,4-diaminopentanoic acid"
"2,5-dichlorocyclohexa-2,5-diene-1,4-diol"
"2,5-dichlorobenzene-1,4-diol"
"2,5-dichlorophenol"
"3,4,6-trihydroxy-2,5-dioxohexanoic acid"
"2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol"
"2-hydroxy-6-oxohepta-2,4-dienoic acid"
4-methyl-2-oxopentanoic acid
2-oxohexanedioic acid
"3,4-dihydroxybenzoic acid"
[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate"
3-aminopropanal
